dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,10,false,0,2.3377,0.103247,false,true,17.6308,0.672384
abalone_size_4177,4177,10,true,0.1,8.80733,0.755022,false,true,80.9285,8.72364
abalone_size_4177,4177,10,true,0.2,4.63217,0.490734,false,true,41.0759,6.88212
abalone_size_4177,4177,10,true,0.3,3.91794,0.626293,false,true,33.2294,6.80745
abalone_size_4177,4177,10,true,0.4,3.44777,0.294393,false,true,28.6295,3.30737
abalone_size_4177,4177,10,true,0.5,3.37283,0.253654,false,true,28.1427,1.4053
abalone_size_4177,4177,10,true,0.6,3.31353,0.126045,false,true,27.5003,1.72238
abalone_size_4177,4177,10,true,0.7,3.18158,0.150315,false,true,25.9658,1.20918
abalone_size_4177,4177,10,true,0.8,3.11581,0.14081,false,true,25.1014,2.43351
abalone_size_4177,4177,10,true,0.9,3.13024,0.0941277,false,true,25.6996,1.00224
abalone_size_4177,4177,10,true,1,3.04069,0.0827742,false,true,24.3885,2.37509
abalone_size_4177,4177,10,true,1.5,3.08971,0.109436,false,true,25.1049,1.12399
abalone_size_4177,4177,10,true,2,2.98627,0.107572,false,true,23.7616,0.629936
abalone_size_4177,4177,10,true,2.5,3.00246,0.0998315,false,true,24.1414,1.12798
abalone_size_4177,4177,10,true,3,2.96597,0.174557,false,true,23.8253,0.345294
abalone_size_4177,4177,10,true,4,2.96371,0.143338,false,true,23.9949,1.00648
abalone_size_4177,4177,10,true,5,2.95454,0.0992297,false,true,23.7604,0.864359
abalone_size_4177,4177,10,true,6,2.93731,0.103848,false,true,23.4029,0.753904
abalone_size_4177,4177,10,true,7,2.94222,0.174575,false,true,23.5545,0.98411
abalone_size_4177,4177,10,true,8,2.938,0.0833714,false,true,23.4287,0.301147
abalone_size_4177,4177,10,true,9,2.93791,0.138196,false,true,23.5136,1.18329
abalone_size_4177,4177,10,true,10,2.9408,0.12292,false,true,23.6535,0.822214
abalone_size_4177,4177,10,true,0.1,8.6734,1.06917,true,false,78.2818,9.155
abalone_size_4177,4177,10,true,0.2,4.81304,0.413806,true,false,41.0838,4.89933
abalone_size_4177,4177,10,true,0.3,3.79027,0.126942,true,false,32.3272,1.06607
abalone_size_4177,4177,10,true,0.4,3.35871,0.211703,true,false,28.2031,1.73082
abalone_size_4177,4177,10,true,0.5,3.32185,0.272129,true,false,26.9853,2.77461
abalone_size_4177,4177,10,true,0.6,3.13151,0.0952772,true,false,26.049,2.00496
abalone_size_4177,4177,10,true,0.7,3.19213,0.137577,true,false,26.2201,2.27232
abalone_size_4177,4177,10,true,0.8,3.05398,0.126773,true,false,24.5891,1.21455
abalone_size_4177,4177,10,true,0.9,3.1361,0.0477714,true,false,25.6919,0.938393
abalone_size_4177,4177,10,true,1,3.07711,0.127557,true,false,25.2433,1.88686
abalone_size_4177,4177,10,true,1.5,2.98901,0.0914554,true,false,24.4462,1.30974
abalone_size_4177,4177,10,true,2,2.96737,0.146761,true,false,24.2188,0.416586
abalone_size_4177,4177,10,true,2.5,2.98845,0.119581,true,false,24.1243,0.6975
abalone_size_4177,4177,10,true,3,2.96404,0.0641855,true,false,23.9113,1.02162
abalone_size_4177,4177,10,true,4,2.94516,0.116065,true,false,23.9678,0.988433
abalone_size_4177,4177,10,true,5,2.94609,0.0606272,true,false,23.7055,1.08522
abalone_size_4177,4177,10,true,6,2.95326,0.0739696,true,false,24.0029,1.02875
abalone_size_4177,4177,10,true,7,2.94102,0.0877913,true,false,23.8982,0.864691
abalone_size_4177,4177,10,true,8,2.93885,0.113327,true,false,23.9202,0.852553
abalone_size_4177,4177,10,true,9,2.94142,0.114814,true,false,23.8406,0.705497
abalone_size_4177,4177,10,true,10,2.93989,0.152491,true,false,23.7959,0.621379
abalone_size_4177,4177,10,true,0.1,8.82673,1.63234,true,true,76.9617,12.4524
abalone_size_4177,4177,10,true,0.2,4.86398,0.413656,true,true,42.1711,1.8405
abalone_size_4177,4177,10,true,0.3,4.12316,0.270733,true,true,35.8766,3.67103
