dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
abalone_size_4177,4177,10,false,0,2.32869,0.0732633,true,false
abalone_size_4177,4177,10,true,0.1,7.46816,0.808846,true,false
abalone_size_4177,4177,10,true,0.2,4.79875,0.796922,true,false
abalone_size_4177,4177,10,true,0.3,3.92431,0.351242,true,false
abalone_size_4177,4177,10,true,0.4,3.59502,0.238554,true,false
abalone_size_4177,4177,10,true,0.5,3.36055,0.297975,true,false
abalone_size_4177,4177,10,true,0.6,3.27935,0.0886589,true,false
abalone_size_4177,4177,10,true,0.7,3.15059,0.142099,true,false
abalone_size_4177,4177,10,true,0.8,3.0995,0.0610707,true,false
abalone_size_4177,4177,10,true,0.9,3.11258,0.0958346,true,false
abalone_size_4177,4177,10,true,1,3.06918,0.11703,true,false
abalone_size_4177,4177,10,true,1.5,2.98051,0.111914,true,false
abalone_size_4177,4177,10,true,2,2.9663,0.175604,true,false
abalone_size_4177,4177,10,true,2.5,2.96189,0.0758472,true,false
abalone_size_4177,4177,10,true,3,2.95638,0.112206,true,false
abalone_size_4177,4177,10,true,4,2.95283,0.0334443,true,false
abalone_size_4177,4177,10,true,5,2.94087,0.0909261,true,false
abalone_size_4177,4177,10,true,6,2.93864,0.0963957,true,false
abalone_size_4177,4177,10,true,7,2.94885,0.145703,true,false
abalone_size_4177,4177,10,true,8,2.94284,0.0936554,true,false
abalone_size_4177,4177,10,true,9,2.92956,0.14366,true,false
abalone_size_4177,4177,10,true,10,2.93625,0.0834948,true,false
abalone_size_4177,4177,10,false,0,2.34625,0.0797419,true,true
abalone_size_4177,4177,10,true,0.1,7.75155,0.328309,true,true
abalone_size_4177,4177,10,true,0.2,5.08648,0.966044,true,true
abalone_size_4177,4177,10,true,0.3,3.97219,0.292074,true,true
abalone_size_4177,4177,10,true,0.4,3.6398,0.338001,true,true
abalone_size_4177,4177,10,true,0.5,3.43723,0.230774,true,true
abalone_size_4177,4177,10,true,0.6,3.31445,0.189764,true,true
abalone_size_4177,4177,10,true,0.7,3.31736,0.146734,true,true
abalone_size_4177,4177,10,true,0.8,3.24698,0.159471,true,true
abalone_size_4177,4177,10,true,0.9,3.1817,0.114935,true,true
abalone_size_4177,4177,10,true,1,3.15636,0.177711,true,true
abalone_size_4177,4177,10,true,1.5,3.09277,0.121971,true,true
abalone_size_4177,4177,10,true,2,3.06198,0.0699969,true,true
abalone_size_4177,4177,10,true,2.5,3.05971,0.114404,true,true
abalone_size_4177,4177,10,true,3,3.06967,0.111129,true,true
abalone_size_4177,4177,10,true,4,3.06556,0.145594,true,true
abalone_size_4177,4177,10,true,5,3.03096,0.0899795,true,true
abalone_size_4177,4177,10,true,6,3.03754,0.137331,true,true
abalone_size_4177,4177,10,true,7,3.0252,0.098144,true,true
abalone_size_4177,4177,10,true,8,3.04473,0.0591711,true,true
abalone_size_4177,4177,10,true,9,3.03097,0.155977,true,true
abalone_size_4177,4177,10,true,10,3.0414,0.128569,true,true
abalone_size_4177,4177,10,false,0,2.34612,0.0795991,false,true
abalone_size_4177,4177,10,true,0.1,7.85503,1.15717,false,true
abalone_size_4177,4177,10,true,0.2,4.80972,0.338094,false,true
abalone_size_4177,4177,10,true,0.3,4.13325,0.409713,false,true
abalone_size_4177,4177,10,true,0.4,3.41279,0.251708,false,true
abalone_size_4177,4177,10,true,0.5,3.47029,0.212205,false,true
abalone_size_4177,4177,10,true,0.6,3.09948,0.148932,false,true
abalone_size_4177,4177,10,true,0.7,3.159,0.212224,false,true
abalone_size_4177,4177,10,true,0.8,3.09173,0.0805891,false,true
abalone_size_4177,4177,10,true,0.9,3.08252,0.0607757,false,true
abalone_size_4177,4177,10,true,1,3.11925,0.0694826,false,true
abalone_size_4177,4177,10,true,1.5,3.05087,0.183672,false,true
abalone_size_4177,4177,10,true,2,2.99882,0.1051,false,true
abalone_size_4177,4177,10,true,2.5,2.95685,0.0368107,false,true
abalone_size_4177,4177,10,true,3,2.97658,0.100916,false,true
abalone_size_4177,4177,10,true,4,2.95508,0.0918192,false,true
abalone_size_4177,4177,10,true,5,2.9472,0.0560162,false,true
abalone_size_4177,4177,10,true,6,2.94503,0.0969722,false,true
abalone_size_4177,4177,10,true,7,2.95511,0.0974595,false,true
abalone_size_4177,4177,10,true,8,2.93928,0.141378,false,true
abalone_size_4177,4177,10,true,9,2.95399,0.172561,false,true
abalone_size_4177,4177,10,true,10,2.92616,0.135745,false,true
