dataset,nb_samples,nb_trees,privacy_budget,mean,std
abalone_size_4177,4177,50,0.1,128.825,16.8942
abalone_size_4177,4177,50,0.2,59.8335,5.73747
abalone_size_4177,4177,50,0.3,43.4593,4.83074
abalone_size_4177,4177,50,0.4,27.8634,5.21171
abalone_size_4177,4177,50,0.5,23.0544,2.07482
abalone_size_4177,4177,50,0.6,19.7599,1.03939
abalone_size_4177,4177,50,0.7,16.8253,0.6932
abalone_size_4177,4177,50,0.8,14.2667,1.04131
abalone_size_4177,4177,50,0.9,11.8997,1.19976
abalone_size_4177,4177,50,1,12.5224,1.94124
abalone_size_4177,4177,50,1.5,7.66019,0.761294
abalone_size_4177,4177,50,2,5.99432,0.465306
abalone_size_4177,4177,50,2.5,5.18866,0.1783
abalone_size_4177,4177,50,3,4.61309,0.176506
abalone_size_4177,4177,50,4,4.24564,0.186746
