dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std
abalone_size_4177,4177,50,false,0,2.18664,0.0631057
abalone_size_4177,4177,50,true,0.2,5.81956,0.627484
abalone_size_4177,4177,50,true,0.3,4.19821,0.200948
abalone_size_4177,4177,50,true,0.4,4.17559,0.185297
abalone_size_4177,4177,50,true,0.5,3.56988,0.389729
abalone_size_4177,4177,50,true,0.6,3.35698,0.162827
abalone_size_4177,4177,50,true,0.7,3.33016,0.0810771
abalone_size_4177,4177,50,true,0.8,3.35592,0.169389
abalone_size_4177,4177,50,true,0.9,3.29113,0.105679
abalone_size_4177,4177,50,true,1,3.23857,0.155827
abalone_size_4177,4177,50,true,1.5,3.03737,0.108203
abalone_size_4177,4177,50,true,2,3.15501,0.192619
abalone_size_4177,4177,50,true,2.5,3.07692,0.121731
abalone_size_4177,4177,50,true,3,3.18278,0.104044
abalone_size_4177,4177,50,true,4,3.13879,0.142819
abalone_size_4177,4177,50,true,5,3.13025,0.06641
abalone_size_4177,4177,50,true,6,3.12618,0.126861
abalone_size_4177,4177,50,true,7,3.11134,0.0765462
abalone_size_4177,4177,50,true,8,3.10897,0.110386
abalone_size_4177,4177,50,true,9,3.1287,0.0582946
abalone_size_4177,4177,50,true,10,3.13086,0.034686
