dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std
abalone_size_4177,4177,10,false,0,2.35713,0.081483
abalone_size_4177,4177,10,true,0.1,8.0616,1.26566
abalone_size_4177,4177,10,true,0.2,4.97112,0.595771
abalone_size_4177,4177,10,true,0.3,3.83998,0.344045
abalone_size_4177,4177,10,true,0.4,3.69343,0.101703
abalone_size_4177,4177,10,true,0.5,3.30416,0.176727
abalone_size_4177,4177,10,true,0.6,3.26849,0.177221
abalone_size_4177,4177,10,true,0.7,3.23981,0.180783
abalone_size_4177,4177,10,true,0.8,3.09081,0.179184
abalone_size_4177,4177,10,true,0.9,3.0836,0.167453
abalone_size_4177,4177,10,true,1,3.00815,0.0706139
abalone_size_4177,4177,10,true,1.5,2.98896,0.0806603
abalone_size_4177,4177,10,true,2,3.00148,0.106749
abalone_size_4177,4177,10,true,2.5,2.98822,0.102289
abalone_size_4177,4177,10,true,3,2.97023,0.107083
abalone_size_4177,4177,10,true,4,2.95194,0.190155
abalone_size_4177,4177,10,true,5,2.93601,0.103883
abalone_size_4177,4177,10,true,6,2.94989,0.120397
abalone_size_4177,4177,10,true,7,2.93945,0.10101
abalone_size_4177,4177,10,true,8,2.94947,0.128439
abalone_size_4177,4177,10,true,9,2.9428,0.0555316
abalone_size_4177,4177,10,true,10,2.94384,0.093575
