dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std
adult_size_5000,5000,10,false,0,0.75,0.012345
adult_size_5000,5000,10,true,0.1,0.5016,0.161
adult_size_5000,5000,10,true,0.2,0.6024,0.109262
adult_size_5000,5000,10,true,0.3,0.5366,0.123532
adult_size_5000,5000,10,true,0.4,0.5986,0.10816
adult_size_5000,5000,10,true,0.5,0.7026,0.0871381
adult_size_5000,5000,10,true,0.6,0.6524,0.0533239
adult_size_5000,5000,10,true,0.7,0.6816,0.0812862
adult_size_5000,5000,10,true,0.8,0.7236,0.0290971
adult_size_5000,5000,10,true,0.9,0.7032,0.0721759
adult_size_5000,5000,10,true,1,0.7374,0.0186826
adult_size_5000,5000,10,true,1.5,0.75,0.00632456
adult_size_5000,5000,10,true,2,0.7504,0.00926499
adult_size_5000,5000,10,true,2.5,0.75,0.0155949
adult_size_5000,5000,10,true,3,0.7516,0.0146506
adult_size_5000,5000,10,true,4,0.75,0.00497996
adult_size_5000,5000,10,true,5,0.75,0.0162604
adult_size_5000,5000,10,true,6,0.75,0.00774597
adult_size_5000,5000,10,true,7,0.75,0.0112606
adult_size_5000,5000,10,true,8,0.75,0.0121161
adult_size_5000,5000,10,true,9,0.75,0.0103344
adult_size_5000,5000,10,true,10,0.75,0.0107145
