dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std
abalone_size_4177,4177,50,false,0,2.18079,0.050548
abalone_size_4177,4177,50,true,0.1,9.94999,0.997214
abalone_size_4177,4177,50,true,0.2,5.47479,0.637039
abalone_size_4177,4177,50,true,0.3,4.31439,0.445978
abalone_size_4177,4177,50,true,0.4,4.12606,0.41096
abalone_size_4177,4177,50,true,0.5,3.38575,0.276335
abalone_size_4177,4177,50,true,0.6,3.49566,0.319264
abalone_size_4177,4177,50,true,0.7,3.30422,0.232692
abalone_size_4177,4177,50,true,0.8,3.29146,0.0496645
abalone_size_4177,4177,50,true,0.9,3.36075,0.270197
abalone_size_4177,4177,50,true,1,3.27306,0.319667
abalone_size_4177,4177,50,true,1.5,3.13919,0.0992962
abalone_size_4177,4177,50,true,2,3.08638,0.0343774
abalone_size_4177,4177,50,true,2.5,3.0917,0.169312
abalone_size_4177,4177,50,true,3,3.08498,0.113828
abalone_size_4177,4177,50,true,4,3.09039,0.0920205
abalone_size_4177,4177,50,true,5,3.08308,0.103674
abalone_size_4177,4177,50,true,6,3.08622,0.0570723
abalone_size_4177,4177,50,true,7,3.09799,0.086676
abalone_size_4177,4177,50,true,8,3.08528,0.108171
abalone_size_4177,4177,50,true,9,3.08048,0.0947738
abalone_size_4177,4177,50,true,10,3.1014,0.0207304
