dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
bcw_size_699,683,20,false,0,6.43839,1.15237,true,false,0,0
bcw_size_699,683,20,true,0.1,45.1213,17.399,true,false,0,0
bcw_size_699,683,20,true,0.2,47.7265,15.8733,true,false,0,0
bcw_size_699,683,20,true,0.3,39.0661,13.0896,true,false,0,0
bcw_size_699,683,20,true,0.4,45.0988,15.5611,true,false,0,0
bcw_size_699,683,20,true,0.5,36.0144,6.15251,true,false,0,0
bcw_size_699,683,20,true,0.6,39.8637,12.6772,true,false,0,0
bcw_size_699,683,20,true,0.7,37.0416,15.5305,true,false,0,0
bcw_size_699,683,20,true,0.8,37.7651,7.85787,true,false,0,0
bcw_size_699,683,20,true,0.9,43.7806,12.9054,true,false,0,0
bcw_size_699,683,20,true,1,30.8974,5.69453,true,false,0,0
bcw_size_699,683,20,true,1.5,27.0953,7.47905,true,false,0,0
bcw_size_699,683,20,true,2,27.6675,6.20087,true,false,0,0
bcw_size_699,683,20,true,2.5,32.3444,5.04058,true,false,0,0
bcw_size_699,683,20,true,3,29.4311,4.31023,true,false,0,0
bcw_size_699,683,20,true,4,30.6011,1.9931,true,false,0,0
bcw_size_699,683,20,true,5,31.7754,3.01803,true,false,0,0
bcw_size_699,683,20,true,6,28.7237,8.81953,true,false,0,0
bcw_size_699,683,20,true,7,31.9193,3.02498,true,false,0,0
bcw_size_699,683,20,true,8,32.631,8.81467,true,false,0,0
bcw_size_699,683,20,true,9,32.6503,5.43668,true,false,0,0
bcw_size_699,683,20,true,10,32.6546,3.56375,true,false,0,0
bcw_size_699,683,20,true,0.1,34.1166,3.00895,false,true,0,0
bcw_size_699,683,20,true,0.2,50.3832,5.69635,false,true,0,0
bcw_size_699,683,20,true,0.3,45.3886,14.5353,false,true,0,0
bcw_size_699,683,20,true,0.4,42.6159,8.21286,false,true,0,0
bcw_size_699,683,20,true,0.5,43.9298,19.3639,false,true,0,0
bcw_size_699,683,20,true,0.6,31.4684,5.68751,false,true,0,0
bcw_size_699,683,20,true,0.7,28.7012,4.98782,false,true,0,0
bcw_size_699,683,20,true,0.8,36.7239,13.038,false,true,0,0
bcw_size_699,683,20,true,0.9,30.483,11.0752,false,true,0,0
bcw_size_699,683,20,true,1,28.5369,4.25888,false,true,0,0
bcw_size_699,683,20,true,1.5,27.5129,5.99127,false,true,0,0
bcw_size_699,683,20,true,2,24.1423,4.57501,false,true,0,0
bcw_size_699,683,20,true,2.5,23.8697,8.94248,false,true,0,0
bcw_size_699,683,20,true,3,28.8439,2.84164,false,true,0,0
bcw_size_699,683,20,true,4,23.8697,5.78042,false,true,0,0
bcw_size_699,683,20,true,5,21.6713,4.16712,false,true,0,0
bcw_size_699,683,20,true,6,18.8922,5.43686,false,true,0,0
bcw_size_699,683,20,true,7,19.1885,4.27687,false,true,0,0
bcw_size_699,683,20,true,8,22.8392,4.15789,false,true,0,0
bcw_size_699,683,20,true,9,24.1584,2.16778,false,true,0,0
bcw_size_699,683,20,true,10,23.5799,4.64536,false,true,0,0
bcw_size_699,683,20,true,0.1,56.0766,12.8784,true,true,0,0
bcw_size_699,683,20,true,0.2,38.7849,18.083,true,true,0,0
bcw_size_699,683,20,true,0.3,43.0056,19.6575,true,true,0,0
bcw_size_699,683,20,true,0.4,43.0571,7.14006,true,true,0,0
bcw_size_699,683,20,true,0.5,38.9523,8.33278,true,true,0,0
bcw_size_699,683,20,true,0.6,41.4212,7.32784,true,true,0,0
bcw_size_699,683,20,true,0.7,33.6636,11.5663,true,true,0,0
bcw_size_699,683,20,true,0.8,42.3444,10.409,true,true,0,0
bcw_size_699,683,20,true,0.9,28.9953,5.46392,true,true,0,0
bcw_size_699,683,20,true,1,30.4519,2.923,true,true,0,0
bcw_size_699,683,20,true,1.5,26.6552,8.82142,true,true,0,0
bcw_size_699,683,20,true,2,19.6243,4.44144,true,true,0,0
bcw_size_699,683,20,true,2.5,30.892,3.38145,true,true,0,0
bcw_size_699,683,20,true,3,24.6093,4.35799,true,true,0,0
bcw_size_699,683,20,true,4,29.5771,3.9859,true,true,0,0
bcw_size_699,683,20,true,5,29.1262,3.36734,true,true,0,0
bcw_size_699,683,20,true,6,32.5129,5.51919,true,true,0,0
bcw_size_699,683,20,true,7,29.5867,7.46058,true,true,0,0
bcw_size_699,683,20,true,8,31.9279,7.28231,true,true,0,0
bcw_size_699,683,20,true,9,31.3192,4.71604,true,true,0,0
bcw_size_699,683,20,true,10,32.9455,2.80345,true,true,0,0
