dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
bcw_size_699,683,40,false,0,5.70524,3.55519,true,true,0,0
bcw_size_699,683,40,true,0.1,49.371,8.95339,true,true,0,0
bcw_size_699,683,40,true,0.2,40.1342,14.3132,true,true,0,0
bcw_size_699,683,40,true,0.3,44.824,13.5248,true,true,0,0
bcw_size_699,683,40,true,0.4,36.8989,12.472,true,true,0,0
bcw_size_699,683,40,true,0.5,48.3265,18.9435,true,true,0,0
bcw_size_699,683,40,true,0.6,44.1863,11.1696,true,true,0,0
bcw_size_699,683,40,true,0.7,38.0775,8.59546,true,true,0,0
bcw_size_699,683,40,true,0.8,33.8225,5.2738,true,true,0,0
bcw_size_699,683,40,true,0.9,38.6668,13.817,true,true,0,0
bcw_size_699,683,40,true,1,32.632,13.7708,true,true,0,0
bcw_size_699,683,40,true,1.5,28.3759,9.41312,true,true,0,0
bcw_size_699,683,40,true,2,20.6612,6.82073,true,true,0,0
bcw_size_699,683,40,true,2.5,28.9845,9.67392,true,true,0,0
bcw_size_699,683,40,true,3,31.93,8.76891,true,true,0,0
bcw_size_699,683,40,true,4,32.0792,4.98387,true,true,0,0
bcw_size_699,683,40,true,5,25.4594,6.69721,true,true,0,0
bcw_size_699,683,40,true,6,32.6342,6.07272,true,true,0,0
bcw_size_699,683,40,true,7,29.8594,4.9574,true,true,0,0
bcw_size_699,683,40,true,8,30.4605,3.35642,true,true,0,0
bcw_size_699,683,40,true,9,32.207,4.21063,true,true,0,0
bcw_size_699,683,40,true,10,30.0097,5.67214,true,true,0,0
bcw_size_699,683,40,true,0.1,38.9717,15.0722,true,false,0,0
bcw_size_699,683,40,true,0.2,51.403,16.9937,true,false,0,0
bcw_size_699,683,40,true,0.3,38.0743,12.9756,true,false,0,0
bcw_size_699,683,40,true,0.4,40.8663,6.65881,true,false,0,0
bcw_size_699,683,40,true,0.5,37.207,8.37483,true,false,0,0
bcw_size_699,683,40,true,0.6,25.3349,2.44128,true,false,0,0
bcw_size_699,683,40,true,0.7,33.9899,9.2609,true,false,0,0
bcw_size_699,683,40,true,0.8,31.9204,5.17579,true,false,0,0
bcw_size_699,683,40,true,0.9,31.4609,10.7393,true,false,0,0
bcw_size_699,683,40,true,1,24.7681,9.58332,true,false,0,0
bcw_size_699,683,40,true,1.5,23.5616,5.26136,true,false,0,0
bcw_size_699,683,40,true,2,29.5824,6.30997,true,false,0,0
bcw_size_699,683,40,true,2.5,25.4852,9.53036,true,false,0,0
bcw_size_699,683,40,true,3,34.2572,8.16733,true,false,0,0
bcw_size_699,683,40,true,4,32.2059,3.37865,true,false,0,0
bcw_size_699,683,40,true,5,31.3267,4.41659,true,false,0,0
bcw_size_699,683,40,true,6,32.6503,8.77273,true,false,0,0
bcw_size_699,683,40,true,7,34.4,7.35416,true,false,0,0
bcw_size_699,683,40,true,8,31.3182,6.25046,true,false,0,0
bcw_size_699,683,40,true,9,33.8364,7.48546,true,false,0,0
bcw_size_699,683,40,true,10,34.2593,5.59691,true,false,0,0
bcw_size_699,683,40,true,0.1,45.5324,3.18426,false,true,0,0
bcw_size_699,683,40,true,0.2,42.6288,8.03262,false,true,0,0
bcw_size_699,683,40,true,0.3,36.9118,6.57569,false,true,0,0
bcw_size_699,683,40,true,0.4,35.2437,16.1906,false,true,0,0
bcw_size_699,683,40,true,0.5,48.4231,13.9675,false,true,0,0
bcw_size_699,683,40,true,0.6,42.5794,14.1688,false,true,0,0
bcw_size_699,683,40,true,0.7,39.2228,10.2147,false,true,0,0
bcw_size_699,683,40,true,0.8,36.7647,9.78198,false,true,0,0
bcw_size_699,683,40,true,0.9,30.4315,7.60015,false,true,0,0
bcw_size_699,683,40,true,1,19.3291,3.85393,false,true,0,0
bcw_size_699,683,40,true,1.5,33.1161,11.3637,false,true,0,0
bcw_size_699,683,40,true,2,17.5687,4.22288,false,true,0,0
bcw_size_699,683,40,true,2.5,12.7329,4.49031,false,true,0,0
bcw_size_699,683,40,true,3,15.8265,9.81516,false,true,0,0
bcw_size_699,683,40,true,4,11.5693,3.4146,false,true,0,0
bcw_size_699,683,40,true,5,12.1608,4.81654,false,true,0,0
bcw_size_699,683,40,true,6,8.0453,2.09628,false,true,0,0
bcw_size_699,683,40,true,7,11.71,2.56975,false,true,0,0
bcw_size_699,683,40,true,8,9.52984,5.14186,false,true,0,0
bcw_size_699,683,40,true,9,10.3972,1.76653,false,true,0,0
bcw_size_699,683,40,true,10,8.49077,1.50582,false,true,0,0
