dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,20,true,0.1,11.6187,1.5675,false,true,1494.11,475.007
abalone_size_4177,4177,20,true,0.2,5.86817,0.956228,false,true,318.296,122.875
abalone_size_4177,4177,20,true,0.3,4.49821,0.41925,false,true,168.26,20.7966
abalone_size_4177,4177,20,true,0.4,4.16808,0.586274,false,true,162.07,44.0546
abalone_size_4177,4177,20,true,0.5,3.59332,0.386663,false,true,117.487,24.2751
abalone_size_4177,4177,20,true,0.6,3.37478,0.178455,false,true,108.448,13.6468
abalone_size_4177,4177,20,true,0.7,3.09073,0.120927,false,true,103.932,6.92034
abalone_size_4177,4177,20,true,0.8,3.13513,0.228564,false,true,103.543,16.5105
abalone_size_4177,4177,20,true,0.9,3.03875,0.162914,false,true,100.012,8.84144
abalone_size_4177,4177,20,true,1,3.06092,0.0957009,false,true,98.5975,8.00426
abalone_size_4177,4177,20,true,1.5,2.82083,0.0931094,false,true,92.4732,8.8939
abalone_size_4177,4177,20,true,2,2.81337,0.14651,false,true,94.7172,7.53002
abalone_size_4177,4177,20,true,2.5,2.79504,0.176859,false,true,93.7996,4.1591
abalone_size_4177,4177,20,true,3,2.77682,0.0799684,false,true,92.0914,4.24499
abalone_size_4177,4177,20,true,4,2.77544,0.0669334,false,true,92.75,2.95674
abalone_size_4177,4177,20,true,5,2.77036,0.118319,false,true,93.8264,3.23261
abalone_size_4177,4177,20,true,6,2.73578,0.110076,false,true,91.4701,3.89835
abalone_size_4177,4177,20,true,7,2.74828,0.188375,false,true,92.134,5.66945
abalone_size_4177,4177,20,true,8,2.75231,0.0566155,false,true,91.7407,2.49953
abalone_size_4177,4177,20,true,9,2.73873,0.0757364,false,true,91.8832,4.23119
abalone_size_4177,4177,20,true,10,2.74072,0.149122,false,true,92.1646,6.51458
