dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
yearMSD_size_10000,10000,40,false,0,9.52091,0.162746,false,true,0.338704,0.00466108
yearMSD_size_10000,10000,40,true,0.1,19.3332,0.548778,false,true,0.765061,0.0227742
yearMSD_size_10000,10000,40,true,0.2,13.2612,0.593165,false,true,0.506417,0.0263086
yearMSD_size_10000,10000,40,true,0.3,12.0414,0.480518,false,true,0.45098,0.0198078
yearMSD_size_10000,10000,40,true,0.4,11.6816,0.361077,false,true,0.435253,0.0156792
yearMSD_size_10000,10000,40,true,0.5,11.4553,0.17745,false,true,0.417801,0.00449588
yearMSD_size_10000,10000,40,true,0.6,11.1073,0.569573,false,true,0.407011,0.0163771
yearMSD_size_10000,10000,40,true,0.7,11.1199,0.35343,false,true,0.404536,0.0121841
yearMSD_size_10000,10000,40,true,0.8,11.1782,0.351376,false,true,0.405144,0.0137247
yearMSD_size_10000,10000,40,true,0.9,10.7984,0.267118,false,true,0.396699,0.0100719
yearMSD_size_10000,10000,40,true,1,11.0705,0.155933,false,true,0.3971,0.00636367
yearMSD_size_10000,10000,40,true,1.5,10.9093,0.182579,false,true,0.398538,0.00328289
yearMSD_size_10000,10000,40,true,2,10.7631,0.220173,false,true,0.389881,0.00637164
yearMSD_size_10000,10000,40,true,2.5,10.8873,0.147492,false,true,0.393199,0.00450651
yearMSD_size_10000,10000,40,true,3,10.9305,0.240566,false,true,0.396354,0.0083759
yearMSD_size_10000,10000,40,true,4,10.8066,0.254852,false,true,0.390245,0.00394939
yearMSD_size_10000,10000,40,true,5,10.9457,0.25184,false,true,0.395196,0.00397278
yearMSD_size_10000,10000,40,true,6,11.0076,0.253795,false,true,0.396614,0.00678011
yearMSD_size_10000,10000,40,true,7,10.7806,0.201055,false,true,0.393036,0.00818701
yearMSD_size_10000,10000,40,true,8,10.6787,0.23384,false,true,0.389097,0.00856171
yearMSD_size_10000,10000,40,true,9,10.9984,0.368603,false,true,0.394382,0.010487
yearMSD_size_10000,10000,40,true,10,10.7578,0.183522,false,true,0.390659,0.00576063
yearMSD_size_10000,10000,40,true,0.1,14.3527,0.853499,true,true,0.556977,0.0451059
yearMSD_size_10000,10000,40,true,0.2,11.6392,0.226613,true,true,0.433833,0.00586334
yearMSD_size_10000,10000,40,true,0.3,11.125,0.263312,true,true,0.418166,0.00993826
yearMSD_size_10000,10000,40,true,0.4,11.0254,0.143129,true,true,0.41556,0.00821762
yearMSD_size_10000,10000,40,true,0.5,10.905,0.225592,true,true,0.406882,0.00637012
yearMSD_size_10000,10000,40,true,0.6,11.1203,0.163671,true,true,0.413894,0.00916915
yearMSD_size_10000,10000,40,true,0.7,10.9372,0.274449,true,true,0.401823,0.0100845
yearMSD_size_10000,10000,40,true,0.8,10.9331,0.189211,true,true,0.401142,0.0092314
yearMSD_size_10000,10000,40,true,0.9,11.1911,0.303801,true,true,0.413123,0.00971451
yearMSD_size_10000,10000,40,true,1,10.9178,0.157012,true,true,0.4055,0.00390368
yearMSD_size_10000,10000,40,true,1.5,10.7051,0.186149,true,true,0.397237,0.00496408
yearMSD_size_10000,10000,40,true,2,10.9008,0.260909,true,true,0.401234,0.00721159
yearMSD_size_10000,10000,40,true,2.5,10.8627,0.347905,true,true,0.40379,0.0107848
yearMSD_size_10000,10000,40,true,3,11.0125,0.389232,true,true,0.407609,0.00681385
yearMSD_size_10000,10000,40,true,4,10.7574,0.13422,true,true,0.399239,0.00705426
yearMSD_size_10000,10000,40,true,5,11.043,0.20111,true,true,0.407557,0.00581544
yearMSD_size_10000,10000,40,true,6,10.934,0.283239,true,true,0.405454,0.00627575
yearMSD_size_10000,10000,40,true,7,11,0.276662,true,true,0.406584,0.00610599
yearMSD_size_10000,10000,40,true,8,11.0892,0.272353,true,true,0.404654,0.00629949
yearMSD_size_10000,10000,40,true,9,10.6539,0.223731,true,true,0.394622,0.00732994
yearMSD_size_10000,10000,40,true,10,10.8261,0.137271,true,true,0.398675,0.00377029
yearMSD_size_10000,10000,40,true,0.1,13.8806,0.799449,true,false,0.540589,0.0358317
yearMSD_size_10000,10000,40,true,0.2,11.6358,0.360806,true,false,0.426051,0.0145553
yearMSD_size_10000,10000,40,true,0.3,11.1411,0.303416,true,false,0.414416,0.0129967
yearMSD_size_10000,10000,40,true,0.4,11.1491,0.295005,true,false,0.410104,0.0115016
yearMSD_size_10000,10000,40,true,0.5,10.8559,0.252889,true,false,0.402578,0.0120876
yearMSD_size_10000,10000,40,true,0.6,10.9556,0.126894,true,false,0.404871,0.0078349
yearMSD_size_10000,10000,40,true,0.7,10.7895,0.180554,true,false,0.399687,0.00847172
yearMSD_size_10000,10000,40,true,0.8,10.8738,0.420134,true,false,0.402142,0.0149237
yearMSD_size_10000,10000,40,true,0.9,11.0269,0.220069,true,false,0.405535,0.00876537
yearMSD_size_10000,10000,40,true,1,10.7655,0.338027,true,false,0.391474,0.0108117
yearMSD_size_10000,10000,40,true,1.5,10.9536,0.193504,true,false,0.403789,0.00938443
yearMSD_size_10000,10000,40,true,2,10.747,0.248845,true,false,0.400181,0.0115813
yearMSD_size_10000,10000,40,true,2.5,10.4743,0.326734,true,false,0.389355,0.0107725
yearMSD_size_10000,10000,40,true,3,10.8592,0.260392,true,false,0.400144,0.00763561
yearMSD_size_10000,10000,40,true,4,10.6582,0.23857,true,false,0.396899,0.0053483
yearMSD_size_10000,10000,40,true,5,10.8578,0.187442,true,false,0.40014,0.0041396
yearMSD_size_10000,10000,40,true,6,10.7203,0.165429,true,false,0.398247,0.00600062
yearMSD_size_10000,10000,40,true,7,10.8184,0.398203,true,false,0.399129,0.0119454
yearMSD_size_10000,10000,40,true,8,10.8263,0.259676,true,false,0.400418,0.00694821
yearMSD_size_10000,10000,40,true,9,10.9013,0.345238,true,false,0.402802,0.00876575
yearMSD_size_10000,10000,40,true,10,10.8293,0.2926,true,false,0.396667,0.00867126
