dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
yearMSD_size_10000,10000,20,true,0.1,15.751,1.18766,false,true
yearMSD_size_10000,10000,20,true,0.2,12.3607,0.265066,false,true
yearMSD_size_10000,10000,20,true,0.3,11.3599,0.454445,false,true
yearMSD_size_10000,10000,20,true,0.4,11.0289,0.28247,false,true
yearMSD_size_10000,10000,20,true,0.5,11.2084,0.303171,false,true
yearMSD_size_10000,10000,20,true,0.6,10.9642,0.373738,false,true
yearMSD_size_10000,10000,20,true,0.7,10.9168,0.197482,false,true
yearMSD_size_10000,10000,20,true,0.8,10.857,0.25538,false,true
yearMSD_size_10000,10000,20,true,0.9,10.6953,0.180387,false,true
yearMSD_size_10000,10000,20,true,1,11.0924,0.305871,false,true
yearMSD_size_10000,10000,20,true,1.5,10.9215,0.237785,false,true
yearMSD_size_10000,10000,20,true,2,10.8749,0.585436,false,true
yearMSD_size_10000,10000,20,true,2.5,10.8282,0.310353,false,true
yearMSD_size_10000,10000,20,true,3,10.9092,0.324803,false,true
yearMSD_size_10000,10000,20,true,4,11.0518,0.207259,false,true
yearMSD_size_10000,10000,20,true,5,10.9337,0.367487,false,true
yearMSD_size_10000,10000,20,true,6,10.9156,0.185196,false,true
yearMSD_size_10000,10000,20,true,7,10.5897,0.306329,false,true
yearMSD_size_10000,10000,20,true,8,10.6665,0.369021,false,true
yearMSD_size_10000,10000,20,true,9,10.6636,0.303997,false,true
yearMSD_size_10000,10000,20,true,10,10.7405,0.247772,false,true
