[10:03:08] [ info] [             main] hello MA start
[10:03:08] [debug] [            train] Training initialized with score: -0.452883
[10:03:08] [debug] [            train] [1mTree  0[0m: receives pb 0.10 and will train on 66 instances
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.30, gain 0.00225, curr_depth 0, samples 66 ->(10,56)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.05, gain 0.00209, curr_depth 1, samples 10 ->(2,8)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.20, gain 0.00022, curr_depth 2, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.08, gain 0.00187, curr_depth 2, samples 8 ->(7,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 7, val 0.02, gain 0.00175, curr_depth 3, samples 7 ->(2,5)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.24, gain 0.00065, curr_depth 4, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.26, gain 0.00107, curr_depth 4, samples 5 ->(2,3)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.24, gain 0.00029, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 0.13, gain 0.00075, curr_depth 5, samples 3 ->(2,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (2)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (3) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.83, gain 0.00106, curr_depth 1, samples 56 ->(54,2)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 7, val 0.32, gain 0.00047, curr_depth 2, samples 54 ->(32,22)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.17, gain 0.00014, curr_depth 3, samples 32 ->(31,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 3, val 0.16, gain 0.00013, curr_depth 4, samples 31 ->(24,7)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.52, gain 0.00011, curr_depth 5, samples 24 ->(9,15)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (9)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (15)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.23, gain 0.00016, curr_depth 5, samples 7 ->(1,6)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (6)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (4) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 6, val 0.21, gain 0.00050, curr_depth 3, samples 22 ->(3,19)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 1, val 0.62, gain 0.00033, curr_depth 4, samples 3 ->(2,1)
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 0, val 1.00, gain 0.00007, curr_depth 5, samples 2 ->(1,1)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (1)-> leaf
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 5, val 0.45, gain 0.00032, curr_depth 4, samples 19 ->(1,18)
[10:03:08] [debug] [    make_tree_DFS] max_depth (5) or min_samples (1)-> leaf
[10:03:08] [debug] [  find_best_split] Using 0.0083 budget for internal leaf nodes
[10:03:08] [debug] [    make_tree_DFS] DFS: best split @ 4, val 1.56, gain 0.00018, curr_depth 5, samples 18 ->(14,4)
[10:03:08] [debug] [    make_tree_DFS] max_depth (6) or min_samples (14)-> leaf
