dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,min_y,max_y,model,config,balance_partition,label
synthetic_A,300,-1,20,20,15,-1,0.500000,3,45.732657,9.930126,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,5000,-1,20,20,15,-1,0.500000,3,3.836998,0.233341,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,15000,-1,20,20,15,-1,0.500000,3,3.171926,0.048075,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,25000,-1,20,20,15,-1,0.500000,3,3.212436,0.033795,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,50000,-1,20,20,15,-1,0.500000,3,3.724455,0.210207,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,75000,-1,20,20,15,-1,0.500000,3,3.434318,0.091878,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,100000,-1,20,20,15,-1,0.500000,3,3.312744,0.046134,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_A,300,-1,20,20,15,-1,0.500000,3,8.941740,0.707494,13.646000,43236.594000,DPGBDT,Vanilla,-1,cost
synthetic_A,5000,-1,20,20,15,-1,0.500000,3,3.089355,0.914156,13.403000,43808.352000,DPGBDT,Vanilla,-1,cost
synthetic_A,15000,-1,20,20,15,-1,0.500000,3,2.286868,0.352809,13.403000,45079.220000,DPGBDT,Vanilla,-1,cost
synthetic_A,25000,-1,20,20,15,-1,0.500000,3,1.777711,0.009416,13.302000,45079.220000,DPGBDT,Vanilla,-1,cost
synthetic_A,50000,-1,20,20,15,-1,0.500000,3,1.781933,0.003331,13.282000,45079.220000,DPGBDT,Vanilla,-1,cost
synthetic_A,75000,-1,20,20,15,-1,0.500000,3,1.775834,0.005268,13.282000,45079.220000,DPGBDT,Vanilla,-1,cost
synthetic_A,100000,-1,20,20,15,-1,0.500000,3,1.807384,0.022078,13.282000,45079.220000,DPGBDT,Vanilla,-1,cost
synthetic_B,300,-1,20,20,15,-1,0.500000,3,54.932329,15.693808,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_B,5000,-1,20,20,15,-1,0.500000,3,2.191719,0.130621,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
