dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.197361,0.043724,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,9.453029,0.612232,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,4.314081,0.223876,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,3.254332,0.087824,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.097907,0.032805,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.006872,0.054707,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.949496,0.040705,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.939133,0.035029,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.963360,0.059198,DPGBDT,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.950974,0.067769,DPGBDT,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.947522,0.047515,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.142187,0.048442,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.140772,0.012956,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.146838,0.060478,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.144759,0.044561,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.150452,0.040593,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.140935,0.037478,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.129197,0.046960,DPRef,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.138011,0.036610,DPRef,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.139732,0.050890,DPRef,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.141048,0.054338,DPRef,DFS,True
