dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.100000,50,50,6,-1,0.100000,5,3.851448,0.068722,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,3.099453,0.066026,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,3.054502,0.076873,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.940980,0.024803,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.969419,0.055457,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.989969,0.068233,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.906214,0.046463,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.925081,0.055665,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.875759,0.076156,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.864259,0.037013,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.935655,0.029525,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.968423,0.023471,DPGBDT,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.902380,0.044819,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.954055,0.014038,DPGBDT,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.929937,0.020925,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.926952,0.071465,DPGBDT,DFS,True
abalone,4177,6.000000,50,50,6,-1,0.100000,5,2.931864,0.089756,DPGBDT,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.925369,0.046304,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.921384,0.021315,DPGBDT,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.922766,0.095936,DPGBDT,DFS,True
abalone,4177,10.000000,50,50,6,-1,0.100000,5,2.933471,0.023716,DPGBDT,DFS,True
