dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.188206,0.051137,DPGBDT,Vanilla,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.766904,0.155522,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.431664,0.105030,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.899049,0.085319,DPGBDT,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.812960,0.045387,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.833614,0.027285,DPGBDT,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.634942,0.035794,DPGBDT,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.717359,0.021912,DPGBDT,DFS,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,2.669750,0.045756,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.631254,0.051486,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.995673,0.316645,DPGBDT,3-trees,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.073854,0.132339,DPGBDT,3-trees,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.944106,0.094278,DPGBDT,3-trees,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.978119,0.079329,DPGBDT,3-trees,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.778466,0.071183,DPGBDT,3-trees,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.740979,0.071303,DPGBDT,3-trees,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.785984,0.068518,DPGBDT,3-trees,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,2.716219,0.066730,DPGBDT,3-trees,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.627560,0.035408,DPGBDT,3-trees,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.146672,0.057202,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.128913,0.069720,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.147490,0.024708,DPRef,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.132059,0.029649,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.160185,0.033330,DPRef,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.144215,0.047971,DPRef,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.148226,0.051329,DPRef,DFS,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,2.138344,0.068693,DPRef,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.138115,0.039371,DPRef,DFS,True
