dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,10,10,6,-1,0.100000,5,2.345923,0.308267,DPGBDT,Vanilla,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,2.403525,0.318497,DPGBDT,DFS,True
abalone,4177,0.400000,10,10,6,-1,0.100000,5,2.387161,0.312403,DPGBDT,DFS,True
abalone,4177,0.700000,10,10,6,-1,0.100000,5,2.377914,0.303637,DPGBDT,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,2.389433,0.306095,DPGBDT,DFS,True
abalone,4177,2.000000,10,10,6,-1,0.100000,5,2.404031,0.310748,DPGBDT,DFS,True
abalone,4177,4.000000,10,10,6,-1,0.100000,5,2.386511,0.319568,DPGBDT,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,2.356281,0.306086,DPGBDT,DFS,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,0.400000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,0.700000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,2.000000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,4.000000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,2.327980,0.311152,DPRef,DFS,True
