dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.178632,0.042009,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,6.626619,0.295014,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.773430,0.065467,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.556862,0.049486,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.457393,0.062914,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.431721,0.027902,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.124423,0.053933,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.127288,0.047913,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.153558,0.046586,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.154128,0.033476,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.136632,0.033835,DPRef,DFS,True
