dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.100000,10,10,6,-1,0.100000,5,8.638342,0.432547,DPGBDT,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,3.434521,0.084624,DPGBDT,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,3.213051,0.031053,DPGBDT,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,3.108898,0.043758,DPGBDT,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,3.137682,0.046387,DPGBDT,DFS,True
abalone,4177,0.000000,10,10,6,-1,0.100000,5,2.352714,0.047727,DPGBDT,Vanilla,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,2.337312,0.025266,DPRef,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,2.327431,0.036570,DPRef,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,2.320214,0.079172,DPRef,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,2.324355,0.067998,DPRef,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,2.335226,0.031206,DPRef,DFS,True
