dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.171664,0.044766,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,26.358521,1.942660,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,15.517928,1.767736,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,11.600151,1.065984,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,8.106304,0.489688,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,6.386953,0.794083,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,5.473292,0.585832,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,5.628456,0.553317,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,4.303891,0.242732,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,4.607256,0.343255,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,36.279935,3.482753,DPGBDT,3-trees,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,15.843714,1.680169,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,12.298875,1.387708,DPGBDT,3-trees,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,8.513820,0.697127,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,7.415339,0.911223,DPGBDT,3-trees,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,5.501487,0.462084,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,4.292737,0.099472,DPGBDT,3-trees,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,5.309514,0.472491,DPGBDT,3-trees,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,4.723301,0.372549,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.141346,0.035021,DPRef,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,2.143890,0.049743,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.136929,0.034236,DPRef,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.137672,0.036686,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.127080,0.059068,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.114135,0.041718,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.135148,0.057840,DPRef,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.142224,0.047765,DPRef,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.133757,0.049737,DPRef,DFS,True
