dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.181195,0.013248,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,135.689845,6.860903,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,57.876509,2.996619,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,38.774168,2.741095,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,31.062887,1.149811,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,28.119755,1.712759,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,22.452022,2.434567,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,16.671559,0.597116,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,16.272450,0.607410,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,13.366035,0.556120,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,125.212497,6.994214,DPGBDT,3-trees,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,51.207569,2.894622,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,43.113696,2.146681,DPGBDT,3-trees,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,31.932880,1.484630,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,26.940377,1.364303,DPGBDT,3-trees,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,21.424386,0.335825,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,17.936963,1.391362,DPGBDT,3-trees,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,17.375765,1.960415,DPGBDT,3-trees,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,12.695036,0.597760,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.145673,0.035434,DPRef,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,2.153943,0.027352,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.139857,0.045649,DPRef,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.123787,0.021395,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.144546,0.033223,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.151823,0.021985,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.119584,0.037059,DPRef,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.146188,0.009858,DPRef,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.136882,0.013935,DPRef,DFS,True
