dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.176957,0.047820,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,30.522410,1.618881,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,9.822393,2.534333,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,5.803165,0.513660,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,4.452440,0.387453,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.367278,0.088096,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.286151,0.121405,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.819397,0.066218,DPGBDT,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.738312,0.031026,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.821422,0.065140,DPGBDT,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.807229,0.062991,DPGBDT,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.671059,0.060401,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,31.374097,2.502763,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,10.657685,1.047550,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,5.798359,0.507666,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,4.664624,0.373721,DPGBDT,3-trees,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.778358,0.224164,DPGBDT,3-trees,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.295578,0.098094,DPGBDT,3-trees,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,3.126346,0.129553,DPGBDT,3-trees,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.870171,0.080836,DPGBDT,3-trees,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.762483,0.059673,DPGBDT,3-trees,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.731251,0.041282,DPGBDT,3-trees,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.770560,0.046692,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.139547,0.024072,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.141566,0.049107,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.126395,0.017009,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.154289,0.029517,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.131057,0.033241,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.155198,0.039376,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.141792,0.044054,DPRef,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.135911,0.028963,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.149262,0.053494,DPRef,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.131927,0.048216,DPRef,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.137143,0.015147,DPRef,DFS,True
