dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.162032,0.055694,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,34.238205,3.377737,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,17.775696,1.738345,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,9.237857,1.282627,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,8.383528,0.840306,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,6.781339,0.654476,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,5.162742,0.372175,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,5.026432,0.458693,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,5.343562,0.567526,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,3.719507,0.074895,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,32.676251,4.094826,DPGBDT,3-trees,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,12.653361,1.049633,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,10.767322,0.374362,DPGBDT,3-trees,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,7.188579,0.563706,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,6.390727,0.668136,DPGBDT,3-trees,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,6.498792,0.402770,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,5.830592,0.678426,DPGBDT,3-trees,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,4.854057,0.295811,DPGBDT,3-trees,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,4.426863,0.499442,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.136735,0.040878,DPRef,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,2.143628,0.060954,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.137171,0.040262,DPRef,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.135058,0.045560,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.141530,0.062469,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.125055,0.054276,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.136605,0.075294,DPRef,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.141347,0.042700,DPRef,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.147743,0.024475,DPRef,DFS,True
