dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.167295,0.035254,DPGBDT,Vanilla,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,12.784921,0.893227,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,12.078045,1.778051,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,9.384840,0.402583,DPGBDT,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,7.399522,0.597885,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,7.000330,0.690469,DPGBDT,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,6.681259,0.336952,DPGBDT,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,6.153508,0.446326,DPGBDT,DFS,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,5.423267,0.279107,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,3.859697,0.677872,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,14.178211,1.140748,DPGBDT,3-trees,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,11.307353,1.031987,DPGBDT,3-trees,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,7.449103,0.257283,DPGBDT,3-trees,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,6.926758,0.553051,DPGBDT,3-trees,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,7.180760,0.685287,DPGBDT,3-trees,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,6.208482,0.291816,DPGBDT,3-trees,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,5.501539,0.534790,DPGBDT,3-trees,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,5.080620,0.407182,DPGBDT,3-trees,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,4.912542,0.610784,DPGBDT,3-trees,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.148187,0.028508,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.142381,0.073826,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.144561,0.026315,DPRef,DFS,True
abalone,4177,2.500000,50,50,6,-1,0.100000,5,2.132752,0.031682,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.126367,0.028799,DPRef,DFS,True
abalone,4177,3.500000,50,50,6,-1,0.100000,5,2.128201,0.033364,DPRef,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.133677,0.026983,DPRef,DFS,True
abalone,4177,4.500000,50,50,6,-1,0.100000,5,2.143320,0.035471,DPRef,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.140502,0.027573,DPRef,DFS,True
