dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,40,50,6,-1,0.100000,5,2.180893,0.031977,DPGBDT,Vanilla,True
abalone,4177,1.000000,40,50,6,-1,0.100000,5,12.172901,0.619621,DPGBDT,DFS,True
abalone,4177,2.000000,40,50,6,-1,0.100000,5,7.016209,0.301456,DPGBDT,DFS,True
abalone,4177,4.000000,40,50,6,-1,0.100000,5,4.032569,0.305680,DPGBDT,DFS,True
abalone,4177,6.000000,40,50,6,-1,0.100000,5,3.229208,0.255384,DPGBDT,DFS,True
abalone,4177,8.000000,40,50,6,-1,0.100000,5,2.710806,0.085568,DPGBDT,DFS,True
abalone,4177,10.000000,40,50,6,-1,0.100000,5,2.627196,0.057778,DPGBDT,DFS,True
abalone,4177,1.000000,40,50,6,-1,0.100000,5,12.483824,0.504331,DPGBDT,3-trees,True
abalone,4177,2.000000,40,50,6,-1,0.100000,5,7.445898,0.447680,DPGBDT,3-trees,True
abalone,4177,4.000000,40,50,6,-1,0.100000,5,4.464332,0.319920,DPGBDT,3-trees,True
abalone,4177,6.000000,40,50,6,-1,0.100000,5,2.968193,0.140420,DPGBDT,3-trees,True
abalone,4177,8.000000,40,50,6,-1,0.100000,5,2.690191,0.020959,DPGBDT,3-trees,True
abalone,4177,10.000000,40,50,6,-1,0.100000,5,2.560947,0.053324,DPGBDT,3-trees,True
abalone,4177,1.000000,40,50,6,-1,0.100000,5,2.146073,0.045840,DPRef,DFS,True
abalone,4177,2.000000,40,50,6,-1,0.100000,5,2.131945,0.010617,DPRef,DFS,True
abalone,4177,4.000000,40,50,6,-1,0.100000,5,2.131325,0.052445,DPRef,DFS,True
abalone,4177,6.000000,40,50,6,-1,0.100000,5,2.122639,0.059166,DPRef,DFS,True
abalone,4177,8.000000,40,50,6,-1,0.100000,5,2.134742,0.028344,DPRef,DFS,True
abalone,4177,10.000000,40,50,6,-1,0.100000,5,2.131164,0.033205,DPRef,DFS,True
