dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.165281,0.042862,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,112.894619,7.398013,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,60.569782,3.746697,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,40.508335,1.448749,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,29.782370,1.307346,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,31.123910,3.603038,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,21.352178,0.849360,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,22.776395,1.903502,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,17.754302,0.581759,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,17.511984,0.961006,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,116.319423,3.235704,DPGBDT,3-trees,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,67.525820,2.522205,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,40.876620,0.990702,DPGBDT,3-trees,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,31.052193,0.826073,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,26.279474,2.311891,DPGBDT,3-trees,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,23.822996,1.158190,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,20.428608,0.610974,DPGBDT,3-trees,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,19.810697,1.044536,DPGBDT,3-trees,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,16.270807,1.840081,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.137797,0.030217,DPRef,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,2.127408,0.073466,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.135595,0.021409,DPRef,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.132525,0.030968,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.140107,0.037617,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.139993,0.055389,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.128791,0.066352,DPRef,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.151896,0.029670,DPRef,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.136107,0.045879,DPRef,DFS,True
